cod_ine,departamento,municipio
40505,Oruro,Esmeralda
50203,Potosí,Llallagua
50702,Potosí,Caripuyo
30201,Cochabamba,Aiquile
50701,Potosí,Sacaca
51302,Potosí,Acasio
40701,Oruro,Huanuni
40501,Oruro,Huachacalla
31402,Cochabamba,Villa Rivero
21803,La Paz,Chacarilla
30403,Cochabamba,Arbieto
21802,La Paz,Papel Pampa
21302,La Paz,Umala
40101,Oruro,Oruro
41601,Oruro,Huayllamarca
21801,La Paz,San Pedro de Curahuara
30703,Cochabamba,Sicaya
71402,Santa Cruz,Puerto Quijarro
30701,Cochabamba,Capinota
30601,Cochabamba,Arque
20301,La Paz,Corocoro
31403,Cochabamba,San Benito
20902,La Paz,Sapahaqui
20905,La Paz,Cairoma
21004,La Paz,Colquiri
21005,La Paz,Ichoca
70104,Santa Cruz,La Guardia
70803,Santa Cruz,Moromoro
70105,Santa Cruz,El Torno
70901,Santa Cruz,Samaipata
10702,Chuquisaca,San Lucas
10902,Chuquisaca,Culpina
10703,Chuquisaca,Incahuasi
70404,Santa Cruz,San Juan
50102,Potosí,Tinguipaya
50501,Potosí,San Pedro
20202,La Paz,Villa Ancoraimes
20403,La Paz,Puerto Mayor de Carabuco
40901,Oruro,Sabaya
80601,Beni,Loreto
51202,Potosí,Tomave
51203,Potosí,Porco
60303,Tarija,Villa Montes
50103,Potosí,Yocalla
50104,Potosí,Urmiri
20402,La Paz,Mocomoco
71302,Santa Cruz,Saipina
30203,Cochabamba,Omereque
70103,Santa Cruz,Porongo
70101,Santa Cruz,Santa Cruz de la Sierra
80501,Beni,San Ignacio
80102,Beni,San Javier
71005,Santa Cruz,San Pedro
21003,La Paz,Cajuata
21001,La Paz,Inquisivi
21102,La Paz,Irupana
21101,La Paz,Chulumani
40601,Oruro,Poopó
41301,Oruro,Totora
50301,Potosí,Betanzos
40402,Oruro,Turco
41502,Oruro,Todos Santos
71101,Santa Cruz,Concepción
70602,Santa Cruz,Santa Rosa
80803,Beni,Huacaraje
41501,Oruro,La Rivera
60601,Tarija,Entre Ríos
80701,Beni,San Joaquín
80702,Beni,San Ramón
20803,La Paz,Tiahuanacu
50401,Potosí,Colquechaca
50403,Potosí,Pocoata
30901,Cochabamba,Quillacollo
31001,Cochabamba,Sacaba
30903,Cochabamba,Tiquipaya
30905,Cochabamba,Colcapirhua
30902,Cochabamba,Sipesipe
30904,Cochabamba,Vinto
30401,Cochabamba,Tarata
31201,Cochabamba,Totora
70401,Santa Cruz,Buena Vista
70402,Santa Cruz,San Carlos
80801,Beni,Magdalena
70601,Santa Cruz,Portachuelo
