fecha,cod_ine,municipio,confirmados
2020-03-15,70101,Santa Cruz de la Sierra,1
2020-03-18,70101,Santa Cruz de la Sierra,1
2020-03-20,70101,Santa Cruz de la Sierra,1
2020-03-20,70103,Porongo,1
2020-03-21,70101,Santa Cruz de la Sierra,2
2020-03-21,71001,Montero,1
2020-03-22,70101,Santa Cruz de la Sierra,6
2020-03-23,70101,Santa Cruz de la Sierra,1
2020-03-24,70101,Santa Cruz de la Sierra,2
2020-03-25,70101,Santa Cruz de la Sierra,5
2020-03-25,70801,Vallegrande,1
2020-03-26,70101,Santa Cruz de la Sierra,5
2020-03-26,70503,Roboré,2
2020-03-26,70801,Vallegrande,1
2020-03-26,71001,Montero,2
2020-03-27,70101,Santa Cruz de la Sierra,4
2020-03-27,70801,Vallegrande,2
2020-03-28,70801,Vallegrande,2
2020-03-29,70101,Santa Cruz de la Sierra,7
2020-03-29,71001,Montero,1
2020-03-30,70101,Santa Cruz de la Sierra,4
2020-03-30,70201,Warnes,1
2020-03-30,71001,Montero,2
2020-03-31,70101,Santa Cruz de la Sierra,4
2020-03-31,70503,Roboré,2
2020-03-31,71001,Montero,1
2020-04-01,70101,Santa Cruz de la Sierra,3
2020-04-01,71101,Concepción,1
2020-04-02,70101,Santa Cruz de la Sierra,2
2020-04-03,70101,Santa Cruz de la Sierra,4
2020-04-03,71001,Montero,1
2020-04-04,70101,Santa Cruz de la Sierra,10
2020-04-04,71001,Montero,5
2020-04-05,70101,Santa Cruz de la Sierra,3
2020-04-05,71001,Montero,5
2020-04-06,70101,Santa Cruz de la Sierra,2
2020-04-06,71001,Montero,1
2020-04-07,70101,Santa Cruz de la Sierra,2
2020-04-07,71001,Montero,1
2020-04-08,70101,Santa Cruz de la Sierra,10
2020-04-08,70104,La Guardia,2
2020-04-08,70503,Roboré,2
2020-04-08,71001,Montero,10
2020-04-09,70101,Santa Cruz de la Sierra,3
2020-04-10,70101,Santa Cruz de la Sierra,2
2020-04-10,71001,Montero,2
2020-04-11,70101,Santa Cruz de la Sierra,9
2020-04-11,71001,Montero,4
2020-04-12,70101,Santa Cruz de la Sierra,11
2020-04-12,70102,Cotoca,1
2020-04-12,71001,Montero,3
2020-04-12,71005,San Pedro,1
2020-04-13,71001,Montero,12
2020-04-13,71101,Concepción,1
2020-04-14,70104,La Guardia,4
2020-04-14,71001,Montero,9
2020-04-15,70101,Santa Cruz de la Sierra,15
2020-04-15,70102,Cotoca,4
2020-04-15,70104,La Guardia,1
2020-04-15,70201,Warnes,1
2020-04-15,71001,Montero,5
2020-04-16,70101,Santa Cruz de la Sierra,1
2020-04-16,71001,Montero,2
