fecha,cod_ine,municipio,confirmados
2020-03-13,31204,Chimoré,1
2020-03-19,30101,Cochabamba,1
2020-03-22,31001,Sacaba,1
2020-03-26,30101,Cochabamba,7
2020-03-27,30101,Cochabamba,4
2020-03-29,30101,Cochabamba,1
2020-03-29,30203,Omereque,1
2020-03-29,30702,Santivañez,1
2020-03-29,30904,Vinto,1
2020-03-30,30101,Cochabamba,1
2020-03-30,30801,Cliza,1
2020-04-01,30702,Santivañez,1
2020-04-02,30101,Cochabamba,1
2020-04-03,30101,Cochabamba,1
2020-04-04,31401,Punata,1
2020-04-05,30101,Cochabamba,2
2020-04-05,30702,Santivañez,2
2020-04-05,30901,Quillacollo,3
2020-04-05,31001,Sacaba,1
2020-04-07,30101,Cochabamba,1
2020-04-07,31401,Punata,4
2020-04-08,30203,Omereque,3
2020-04-08,30702,Santivañez,5
2020-04-08,30801,Cliza,1
2020-04-09,30101,Cochabamba,1
2020-04-11,30101,Cochabamba,1
2020-04-12,31401,Punata,3
2020-04-13,30101,Cochabamba,1
2020-04-13,30702,Santivañez,1
2020-04-14,30901,Quillacollo,3
2020-04-15,30203,Omereque,1
2020-04-15,30901,Quillacollo,1
2020-04-17,30101,Cochabamba,1
2020-04-19,30101,Cochabamba,1
2020-04-21,30101,Cochabamba,1
2020-04-22,30901,Quillacollo,1
2020-04-23,30101,Cochabamba,3
2020-04-24,30702,Santivañez,2
2020-04-24,30901,Quillacollo,2
2020-04-25,30101,Cochabamba,1
2020-04-26,30901,Quillacollo,7
2020-04-28,30901,Quillacollo,1
2020-04-29,30101,Cochabamba,1
2020-05-02,30101,Cochabamba,1
2020-05-04,30101,Cochabamba,1
2020-05-04,30905,Colcapirhua,1
2020-05-08,30101,Cochabamba,4
2020-05-08,31001,Sacaba,4
2020-05-09,30101,Cochabamba,4
2020-05-09,31001,Sacaba,1
2020-05-10,30101,Cochabamba,1
2020-05-10,30902,Sipesipe,1
2020-05-10,31001,Sacaba,6
2020-05-10,31003,Villa Tunari,1
2020-05-11,30101,Cochabamba,2
2020-05-11,30902,Sipesipe,1
2020-05-11,30903,Tiquipaya,1
2020-05-11,31001,Sacaba,1
2020-05-12,30101,Cochabamba,1
